date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_uap,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp
15-Jun-20,2020-06-15,2020-06-15,Essential,Online,1087,0.38,0.35,0.09,0.05,,0.07,0.07,0.47,0.47
08-Jun-20,2020-06-08,2020-06-08,Essential,Online,1073,0.4,0.33,0.09,0.04,,0.06,0.08,0.47,0.45
3–6 Jun 2020,2020-06-03,2020-06-06,Newspoll-YouGov,Online,1512,0.42,0.34,0.12,0.04,,0.08,0,0.51,0.49
13–16 May 2020,2020-05-13,2020-05-16,Newspoll-YouGov,Online,1504,0.43,0.35,0.1,0.03,,0.09,0,0.51,0.49
"18–19, 25–26 Apr 2020",2020-05-18,2020-05-25,Roy Morgan,Telephone/online,2806,0.435,0.33,0.115,0.03,,0.09,0,0.515,0.485
22–25 Apr 2020,2020-04-22,2020-04-25,Newspoll-YouGov,Online,1519,0.41,0.36,0.12,0.04,,0.07,0,0.5,0.5
1–3 Apr 2020,2020-04-01,2020-04-03,Newspoll-YouGov,Online,1508,0.42,0.34,0.13,0.05,,0.06,0,0.51,0.49
11–14 Mar 2020,2020-03-11,2020-03-14,Newspoll-YouGov,Online,1501,0.4,0.36,0.12,0.04,,0.08,0,0.49,0.51
19–22 Feb 2020,2020-02-19,2020-02-22,Newspoll-YouGov,Online,1513,0.38,0.34,0.13,0.04,,0.11,0,0.49,0.51
20 Jan–3 Feb 2020,2020-01-20,2020-02-03,ANU,CATI/online,3249,0.348,0.334,0.147,0,,0.105,0,0,0
29 Jan–1 Feb 2020,2020-01-29,2020-02-01,Newspoll-YouGov,Online,1510,0.38,0.35,0.13,0.04,,0.1,0,0.48,0.52
8–11 Jan 2020,2020-01-08,2020-01-11,Newspoll-YouGov,Online,1505,0.4,0.36,0.12,0.04,,0.08,0,0.49,0.51
4–8 Dec 2019,2019-12-04,2019-12-08,Newspoll-YouGov,Online,1503,0.42,0.33,0.11,0.05,,0.09,0,0.52,0.48
21–23 Nov 2019,2019-11-21,2019-11-23,Newspoll-YouGov,Online,1519,0.41,0.33,0.12,0.05,,0.09,0,0.51,0.49
7–10 Nov 2019,2019-11-07,2019-11-10,Newspoll-YouGov,IVR/online,1682,0.4,0.35,0.12,0.07,,0.06,0,0.5,0.5
17–20 Oct 2019,2019-10-17,2019-10-20,Newspoll-YouGov,IVR/online,1634,0.42,0.33,0.13,0.06,,0.06,0,0.51,0.49
26–29 Sep 2019,2019-09-26,2019-09-29,Newspoll-YouGov,IVR/online,1658,0.42,0.33,0.13,0.06,,0.06,0,0.51,0.49
5–7 Sep 2019,2019-09-05,2019-09-07,Newspoll-YouGov,IVR/online,1661,0.43,0.35,0.12,0.05,,0.05,0,0.51,0.49
15–18 Aug 2019,2019-08-15,2019-08-18,Newspoll-YouGov,IVR/online,1623,0.42,0.34,0.11,0.04,,0.09,0,0.51,0.49
25–28 Jul 2019,2019-07-25,2019-07-28,Newspoll-YouGov,IVR/online,1601,0.44,0.33,0.11,0.03,,0.09,0,0.53,0.47
18-May-19,2019-05-18,2019-05-18,Election,Election,0,0.4144,0.3334,0.104,0.0308,,0.1174,0,0.5153,0.4847
